Ticker,Date,Mean,Max,Min
NVDA,2022-01-1,0.02457,0.5994,-0.4767
NVDA,2022-01-2,0.02457,0.5994,-0.4767
NVDA,2022-01-3,0.02457,0.5994,-0.4767
NVDA,2022-01-4,0.02457,0.5994,-0.4767
NVDA,2022-01-5,0.02457,0.5994,-0.4767
NVDA,2022-01-6,0.02457,0.5994,-0.4767
NVDA,2022-01-7,0.02457,0.5994,-0.4767
NVDA,2022-01-8,0.02457,0.5994,-0.4767
NVDA,2022-01-9,0.02457,0.5994,-0.4767
NVDA,2022-01-10,0.02457,0.5994,-0.4767
NVDA,2022-01-11,0.02457,0.5994,-0.4767
NVDA,2022-01-12,0.02457,0.5994,-0.4767
NVDA,2022-01-13,0.02457,0.5994,-0.4767
NVDA,2022-01-14,0.02457,0.5994,-0.4767
NVDA,2022-01-15,0.02457,0.5994,-0.4767
NVDA,2022-01-16,0.02457,0.5994,-0.4767
NVDA,2022-01-17,0.02457,0.5994,-0.4767
NVDA,2022-01-18,0.02457,0.5994,-0.4767
NVDA,2022-01-19,0.02457,0.5994,-0.4767
NVDA,2022-01-20,0.02457,0.5994,-0.4767
NVDA,2022-01-21,0.02457,0.5994,-0.4767
NVDA,2022-01-22,0.02457,0.5994,-0.4767
NVDA,2022-01-23,0.02457,0.5994,-0.4767
NVDA,2022-01-24,0.02457,0.5994,-0.4767
NVDA,2022-01-25,0.02457,0.5994,-0.4767
NVDA,2022-01-26,0.02457,0.5994,-0.4767
NVDA,2022-01-27,0.02457,0.5994,-0.4767
NVDA,2022-01-28,0.02457,0.5994,-0.4767
NVDA,2022-01-29,0.02457,0.5994,-0.4767
NVDA,2022-01-30,0.02457,0.5994,-0.4767
NVDA,2022-01-31,0.02457,0.5994,-0.4767
